Box0 dimensions: Width=17.39cm, Height=4.96cm, Depth=20.76cm
Box0 dimensions: Width=17.48cm, Height=4.99cm, Depth=20.76cm
Box0 dimensions: Width=17.47cm, Height=4.88cm, Depth=20.66cm
Box0 dimensions: Width=17.49cm, Height=5.16cm, Depth=20.66cm
Box1 dimensions: Width=17.59cm, Height=5.01cm, Depth=24.10cm
Box1 dimensions: Width=17.51cm, Height=5.03cm, Depth=24.00cm
Box1 dimensions: Width=17.48cm, Height=4.96cm, Depth=23.86cm
Box1 dimensions: Width=17.47cm, Height=5.10cm, Depth=23.85cm
Box1 dimensions: Width=17.44cm, Height=4.97cm, Depth=23.75cm
Box1 dimensions: Width=17.68cm, Height=5.05cm, Depth=23.92cm
Box1 dimensions: Width=17.51cm, Height=5.08cm, Depth=23.74cm
Box1 dimensions: Width=17.66cm, Height=5.07cm, Depth=23.84cm
Box1 dimensions: Width=17.60cm, Height=4.98cm, Depth=21.10cm
Box1 dimensions: Width=17.60cm, Height=5.02cm, Depth=20.75cm
Box1 dimensions: Width=17.53cm, Height=4.93cm, Depth=20.51cm
Box1 dimensions: Width=17.52cm, Height=4.91cm, Depth=20.39cm
Box1 dimensions: Width=17.51cm, Height=5.03cm, Depth=20.38cm
Box1 dimensions: Width=17.33cm, Height=4.90cm, Depth=20.09cm
Box1 dimensions: Width=17.46cm, Height=4.93cm, Depth=19.74cm
Box1 dimensions: Width=28.89cm, Height=2.07cm, Depth=25.02cm
Box1 dimensions: Width=27.66cm, Height=1.69cm, Depth=23.45cm
Box1 dimensions: Width=17.37cm, Height=5.27cm, Depth=17.20cm
Box1 dimensions: Width=17.57cm, Height=5.13cm, Depth=21.46cm
Box1 dimensions: Width=17.65cm, Height=5.09cm, Depth=21.28cm
Box1 dimensions: Width=17.67cm, Height=5.14cm, Depth=21.21cm
Box1 dimensions: Width=17.50cm, Height=5.11cm, Depth=20.97cm
Box1 dimensions: Width=17.70cm, Height=5.12cm, Depth=21.02cm
Box1 dimensions: Width=17.66cm, Height=5.16cm, Depth=20.89cm
Box1 dimensions: Width=17.67cm, Height=5.12cm, Depth=20.86cm
Box1 dimensions: Width=17.65cm, Height=5.19cm, Depth=20.76cm
Box1 dimensions: Width=17.59cm, Height=5.12cm, Depth=20.62cm
Box1 dimensions: Width=17.68cm, Height=5.12cm, Depth=20.61cm
Box1 dimensions: Width=17.69cm, Height=5.21cm, Depth=20.59cm
Box1 dimensions: Width=17.66cm, Height=5.23cm, Depth=20.55cm
Box1 dimensions: Width=17.58cm, Height=5.16cm, Depth=20.50cm
Box1 dimensions: Width=17.63cm, Height=5.30cm, Depth=20.55cm
Box1 dimensions: Width=17.59cm, Height=5.17cm, Depth=20.44cm
Box1 dimensions: Width=17.55cm, Height=5.23cm, Depth=20.42cm
Box1 dimensions: Width=17.68cm, Height=5.27cm, Depth=20.43cm
Box1 dimensions: Width=17.60cm, Height=5.28cm, Depth=20.37cm
Box1 dimensions: Width=17.65cm, Height=5.31cm, Depth=20.35cm
Box1 dimensions: Width=17.65cm, Height=5.35cm, Depth=20.39cm
Box1 dimensions: Width=0.17cm, Height=0.05cm, Depth=0.21cm
Box2 dimensions: Width=0.18cm, Height=0.05cm, Depth=0.24cm
Box3 dimensions: Width=0.17cm, Height=0.05cm, Depth=0.21cm
Box4 dimensions: Width=0.17cm, Height=0.05cm, Depth=0.19cm
Box1 dimensions: Width=17.45cm, Height=4.99cm, Depth=18.55cm
Box2 dimensions: Width=17.42cm, Height=4.99cm, Depth=18.58cm
Box3 dimensions: Width=17.45cm, Height=4.93cm, Depth=18.77cm
Box4 dimensions: Width=17.57cm, Height=4.98cm, Depth=22.58cm
Box5 dimensions: Width=17.43cm, Height=4.98cm, Depth=22.45cm
Box6 dimensions: Width=17.53cm, Height=4.94cm, Depth=22.44cm
Box7 dimensions: Width=17.53cm, Height=4.95cm, Depth=22.49cm
Box8 dimensions: Width=17.45cm, Height=4.89cm, Depth=22.34cm
Box9 dimensions: Width=17.47cm, Height=4.86cm, Depth=22.23cm
Box10 dimensions: Width=17.47cm, Height=4.97cm, Depth=22.23cm
Box11 dimensions: Width=17.42cm, Height=4.92cm, Depth=22.16cm
Box12 dimensions: Width=17.42cm, Height=4.83cm, Depth=22.07cm
Box13 dimensions: Width=17.54cm, Height=5.04cm, Depth=22.23cm
Box14 dimensions: Width=17.57cm, Height=4.88cm, Depth=22.13cm
Box2 dimensions: Width=21.38cm, Height=16.49cm, Depth=36.04cm
Box3 dimensions: Width=21.08cm, Height=16.32cm, Depth=36.20cm
Box4 dimensions: Width=12.77cm, Height=49.63cm, Depth=105.93cm
Box5 dimensions: Width=21.20cm, Height=16.36cm, Depth=36.08cm
Box6 dimensions: Width=29.51cm, Height=119.79cm, Depth=253.44cm
Box7 dimensions: Width=21.17cm, Height=16.28cm, Depth=36.02cm
Box9 dimensions: Width=21.05cm, Height=16.26cm, Depth=35.32cm
Box10 dimensions: Width=21.01cm, Height=16.25cm, Depth=35.09cm
Box11 dimensions: Width=20.97cm, Height=16.22cm, Depth=35.03cm
Box12 dimensions: Width=21.00cm, Height=16.30cm, Depth=35.00cm
Box13 dimensions: Width=20.97cm, Height=16.24cm, Depth=34.87cm
Box14 dimensions: Width=21.12cm, Height=16.27cm, Depth=34.72cm
Box15 dimensions: Width=20.92cm, Height=16.26cm, Depth=34.71cm
Box16 dimensions: Width=20.98cm, Height=16.23cm, Depth=34.64cm
Box17 dimensions: Width=21.04cm, Height=16.26cm, Depth=34.51cm
Box18 dimensions: Width=21.05cm, Height=16.29cm, Depth=34.46cm
Box19 dimensions: Width=21.14cm, Height=16.28cm, Depth=34.44cm
Box1 dimensions: Width=21.23cm, Height=16.33cm, Depth=33.40cm
Box2 dimensions: Width=21.12cm, Height=16.27cm, Depth=33.36cm
Box3 dimensions: Width=21.10cm, Height=16.31cm, Depth=33.27cm
Box4 dimensions: Width=21.20cm, Height=16.29cm, Depth=33.21cm
Box5 dimensions: Width=21.14cm, Height=16.32cm, Depth=33.19cm
Box6 dimensions: Width=21.18cm, Height=16.29cm, Depth=33.11cm
Box7 dimensions: Width=21.14cm, Height=16.27cm, Depth=32.90cm
Box8 dimensions: Width=21.33cm, Height=16.30cm, Depth=32.78cm
